"","Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"90013","2015-07",-6.38284,54.448119,"Lakeview Park","VECR","Other Town",NA
"120209","2015-09",-7.254884,54.767425,"Campbell Terrace","VISO","Other Town",NA
"146470","2015-11",-6.261242,54.857385,"Meadowvale","VECR","Other Town",NA
"260043","2016-08",-5.959108,54.588572,"Donegall Road","ASBO","Other Town",NA
"367264","2017-04",-6.33179,54.456922,"Colban Crescent","VISO","LURGAN",197
"306159","2016-11",-6.278575,54.861774,"Queen Street","VISO","Other Town",NA
"188141","2016-03",-5.933398,54.597974,"College Street","ASBO","Other Town",NA
"14853","2015-02",-6.482847,54.956752,"Wallace Park","ASBO","Other Town",NA
"233936","2016-06",-6.046669,54.516243,NA,"CDAR",NA,NA
"180649","2016-02",-6.327077,54.453766,"Toberhewny Lane Lower","DRUG","LURGAN",197
"247091","2016-07",-7.312088,54.994213,"Waterside Link","CDAR",NA,NA
"391480","2017-06",-6.459626,54.413347,"Crawford Park","CDAR","Other Town",NA
"110867","2015-09",-6.338723,54.468499,"Princes Close","ASBO","LURGAN",197
"271103","2016-09",-7.472003,54.816525,"Melmount Road","ASBO","Other Town",NA
"31467","2015-03",-5.938179,54.617275,"Oceanic Avenue","OTTH","BELFAST",232
"29333","2015-03",-6.607457,54.749222,"Leckagh Drive","CDAR","MAGHERAFELT",353
"152386","2015-12",-5.82486,54.852263,NA,"ASBO",NA,NA
"122254","2015-10",-5.84661,54.257899,"Manse Road","ASBO","Other Town",NA
"226761","2016-06",-6.260064,54.419612,"Soudavar Park","ASBO","CRAIGAVON",110
"152205","2015-12",-5.815673,54.853401,"Victoria Road","ASBO","Other Town",NA
"347989","2017-03",-5.910253,54.664587,NA,"ASBO",NA,NA
"255447","2016-08",-5.938649,54.621452,"Willowbank Gardens","ASBO","BELFAST",232
"164241","2016-01",-6.740348,54.636241,"Stewart Avenue","ASBO","Other Town",NA
"123307","2015-10",-5.927871,54.58248,"Agincourt Avenue","ASBO","BELFAST",232
"156826","2015-12",-5.933132,54.606883,"Clifton House Mews","DRUG","BELFAST",232
"288507","2016-10",-5.932232,54.611207,"New Lodge Road","CDAR","Other Town",NA
"389621","2017-06",-6.65378,54.344486,"Friary Road","ASBO","Other Town",NA
"318008","2016-12",-6.341752,54.176915,"Monaghan Street","VISO","Other Town",NA
"90342","2015-07",-6.653222,55.134338,"Glebe Avenue","VISO","Other Town",NA
"294669","2016-10",-6.00052,54.752033,"Park Street","VISO","Other Town",NA
"273316","2016-09",-7.453325,54.838118,"Tulacorr Gardens","ASBO","STRABANE",111
"290612","2016-10",-5.92218,54.623156,NA,"DRUG",NA,NA
"115063","2015-09",-6.708817,54.248282,"St. Matthews Estate","CDAR","KEADY",207
"293081","2016-10",-5.93927,54.591695,"Britannic Drive","VISO","BELFAST",232
"271968","2016-09",-5.876847,54.602827,"Sydenham Crescent","ASBO","BELFAST",232
"16877","2015-02",-5.939954,54.581221,"Park Lane","CDAR","Other Town",NA
"25159","2015-03",-5.95085,54.596196,NA,"ASBO",NA,NA
"115118","2015-09",-7.599293,54.457472,"Old Junction Road","CDAR","Other Town",NA
"124256","2015-10",-5.924398,54.584469,"Agincourt Street","ASBO","BELFAST",232
"393632","2017-06",-7.29533,54.989356,NA,"SHOP",NA,NA
"160405","2015-12",-6.749769,54.635575,"Drum Road","VISO","Other Town",NA
"152986","2015-12",-6.222808,54.620531,"Glenfield Close","ASBO","CRUMLIN",273
"346941","2017-03",-5.939744,54.616331,"Brookhill Avenue","ASBO","BELFAST",232
"348625","2017-03",-5.94261,54.607386,"Hopewell Place","BURG","BELFAST",232
"131400","2015-10",-6.340563,54.464949,"Charles Street","DRUG","Other Town",NA
"54525","2015-05",-5.886334,54.215805,"Golf Links Road","ASBO","NEWCASTLE",333
"253932","2016-07",-6.34492,54.127101,NA,"VISO",NA,NA
"325610","2017-01",-6.285868,54.866081,"Princes Street","CDAR","Other Town",NA
"139102","2015-11",-6.44144,54.420912,"Portmore Street","ASBO","PORTADOWN",174
"372579","2017-05",-5.930334,54.599189,"Castle Street","ASBO","Other Town",NA
"81292","2015-07",-5.898124,54.211869,NA,"ASBO",NA,NA
"326755","2017-01",-5.820337,54.722394,"The Birches","OTTH","Other Town",NA
"310508","2016-12",-5.718667,54.327423,NA,"ASBO",NA,NA
"375026","2017-05",-5.981725,54.580164,"Andersonstown Park","ASBO","BELFAST",232
"132782","2015-10",-5.928635,54.592727,"Ormeau Avenue","OTTH","BELFAST",232
"35458","2015-03",-5.969104,54.629865,"Benview Drive","VISO","BELFAST",232
"374946","2017-05",-6.707971,55.175265,"Old Mill Grange","ASBO","PORTSTEWART",335
"393040","2017-06",-6.145303,54.193726,"Aonach Court","OTTH","HILLTOWN",387
"276166","2016-09",-5.892164,54.595152,"Factory Street","DRUG","BELFAST",232
"306550","2016-11",-6.148463,54.417422,"Maypole Park","VISO","DROMORE",NA
"181061","2016-02",-6.056427,55.087718,"Layde Road","OTTH","Other Town",NA
"47337","2015-04",-5.92577,54.600378,"Church Lane","THPR","Other Town",NA
"278017","2016-09",-7.630614,54.340481,"Derrychara Road","SHOP","ENNISKILLEN",80
"301026","2016-11",-6.29537,54.459827,"Seyton Park","CDAR","CRAIGAVON",110
"199153","2016-03",-6.307767,55.164086,"Magheramore Road","VISO","Other Town",NA
"70384","2015-06",-7.660912,54.419454,"Rossfad Road","BURG","BALLINAMALLARD",25
"278102","2016-09",-5.949993,54.603693,NA,"SHOP",NA,NA
"108217","2015-08",-7.303179,55.03136,"Earhart Park","OTCR","LONDONDERRY",NA
"140515","2015-11",-5.82395,54.850369,"Latharna Houses","ASBO","LARNE",231
"86513","2015-07",-6.598755,54.387963,NA,"CDAR",NA,NA
"6716","2015-01",-5.958833,54.585719,"Glenmachan Pl Roundabout","OTTH",NA,NA
"155033","2015-12",-5.94008,54.595573,"Stanley Street","CDAR","BELFAST",232
"231382","2016-06",-5.92439,54.60012,"Victoria Street","ASBO","Other Town",NA
"279804","2016-09",-5.668893,54.63318,"Ardvanagh Drive","VISO","NEWTOWNARDS",199
"306717","2016-11",-5.88147,54.599646,NA,"VISO",NA,NA
"390941","2017-06",-5.965403,54.593261,NA,"CDAR",NA,NA
"67110","2015-06",-6.417334,54.419161,NA,"ASBO",NA,NA
"133633","2015-10",-5.88813,54.593257,"Beersbridge Road","SHOP","BELFAST",232
"54611","2015-05",-5.829592,54.587198,"Melfort Drive","ASBO","BELFAST",232
"262239","2016-08",-5.626229,54.658265,"Sherwood Road","CDAR","BANGOR",318
"136173","2015-10",-6.007789,54.750131,"Ollardale Park","VISO","BALLYCLARE",116
"267087","2016-08",-7.297527,54.61245,"Lisanelly Heights","VISO","OMAGH",167
"124635","2015-10",-6.652495,54.347104,"Scotch Street","ASBO","Other Town",NA
"29312","2015-03",-5.983574,54.667915,"Mayfield Park","CDAR","NEWTOWNABBEY",67
"272564","2016-09",-5.902705,54.598381,NA,"ASBO",NA,NA
"312566","2016-12",-5.975267,54.603696,NA,"BURG",NA,NA
"227700","2016-06",-5.872068,54.696143,"Glassillan Grove","ASBO","CARRICKFERGUS",198
"221903","2016-05",-7.630614,54.340481,"Derrychara Road","OTTH","ENNISKILLEN",80
"349595","2017-03",-5.892555,54.593272,NA,"CDAR",NA,NA
"268793","2016-09",-5.955848,54.572425,"Cranmore Gardens","ASBO","BELFAST",232
"391276","2017-06",-5.889215,54.600105,"Lewis Park","CDAR","Other Town",NA
"253979","2016-07",-5.893711,54.587065,"Castlereagh Road","VISO","BELFAST",232
"202797","2016-04",-5.674952,54.598387,"Abbeydale Avenue","ASBO","NEWTOWNARDS",199
"401613","2017-07",-5.951606,54.598401,"Falls Road","ASBO","Other Town",NA
"201770","2016-04",-5.902382,54.562839,"Glencregagh Road","ASBO","BELFAST",232
"269594","2016-09",-7.307808,54.985996,"Gelvin Gardens","ASBO","LONDONDERRY",NA
"246398","2016-07",-5.909219,54.560064,"Breda Park","BURG","Other Town",NA
"389911","2017-06",-5.959108,54.588572,"Donegall Road","BURG","Other Town",NA
"151432","2015-12",-5.658233,54.640773,NA,"ASBO",NA,NA
"361361","2017-04",-5.952985,54.617167,"Torrens Gardens","ASBO","BELFAST",232
"187175","2016-03",-5.932781,54.587541,"Botanic Avenue","ASBO","BELFAST",232
"204289","2016-04",-6.038986,54.505139,NA,"ASBO",NA,NA
"189537","2016-03",-6.333133,54.456518,"Portlec Place","ASBO","LURGAN",197
"254260","2016-08",-7.330775,54.99509,"Cable Street","ASBO","LONDONDERRY",NA
"248596","2016-07",-5.921874,54.611542,"Whitla Street","DRUG","BELFAST",232
"323378","2017-01",-6.09646,54.723757,"Greenview","ASBO","Other Town",NA
"228485","2016-06",-5.881321,54.583749,"Houston Park","ASBO","Other Town",NA
"316424","2016-12",-5.87122,54.602404,"Edgcumbe Park","THPR","BELFAST",232
"166358","2016-01",-7.32179,54.998831,"Sackville Street","ASBO","Other Town",NA
"210154","2016-04",-6.739736,54.646009,"Molesworth Road","VISO","COOKSTOWN",52
"215428","2016-05",-5.940995,54.580206,"Malone Avenue","ASBO","Other Town",NA
"408522","2017-07",-5.959099,54.591519,"Irwell Court","VECR","BELFAST",232
"176794","2016-02",-5.923018,54.661087,"Camross Park","ASBO","NEWTOWNABBEY",67
"409844","2017-07",-6.396724,54.450254,"Avondale Manor","VISO","CRAIGAVON",110
"323675","2017-01",-5.938259,54.636181,"Strathmore Park North","ASBO","BELFAST",232
"212290","2016-04",-6.475263,54.879155,"Bracken View","VISO","PORTGLENONE",11
"206849","2016-04",-6.948962,55.047482,"Irish Green Street","CDAR","LIMAVADY",69
"375126","2017-05",-5.948885,54.590951,NA,"ASBO",NA,NA
"108804","2015-09",-5.94628,54.610117,"Shannon Court","ASBO","BELFAST",232
"71540","2015-06",-5.940927,54.607914,NA,"CDAR",NA,NA
"164731","2016-01",-5.959099,54.591519,"Irwell Court","ASBO","BELFAST",232
"221526","2016-05",-7.104512,55.012866,"Harvest Meadows","OTTH","GREYSTEEL",15
"100800","2015-08",-6.66828,55.131377,"Society Street","CDAR","Other Town",NA
